State,Month,Pollutant,API Level
Pahang,2024-01,Sulfur Dioxide(SO2),4
Pahang,2024-01,Volatie Organic Compounds(VOCs),42
Pahang,2024-01,Ground-level Ozone(O3),40
Pahang,2024-02,Particulate Matter(PM),27.5
Pahang,2024-02,Carbon  Monoxide(CO),0.57
Pahang,2024-02,Nitrogen Dioxide(NO2),24
Pahang,2024-02,Sulfur Dioxide(SO2),6
Pahang,2024-02,Volatie Organic Compounds(VOCs),37
Pahang,2024-02,Ground-level Ozone(O3),34
Pahang,2024-03,Particulate Matter(PM),26.9
Pahang,2024-03,Carbon  Monoxide(CO),0.52
Pahang,2024-03,Nitrogen Dioxide(NO2),24
Pahang,2024-03,Sulfur Dioxide(SO2),7
Pahang,2024-03,Volatie Organic Compounds(VOCs),43
Pahang,2024-03,Ground-level Ozone(O3),37
Pahang,2024-04,Particulate Matter(PM),28
Pahang,2024-04,Carbon  Monoxide(CO),0.5
Pahang,2024-04,Nitrogen Dioxide(NO2),26
Pahang,2024-04,Sulfur Dioxide(SO2),4
Pahang,2024-04,Volatie Organic Compounds(VOCs),39
Pahang,2024-04,Ground-level Ozone(O3),39
Pahang,2024-05,Particulate Matter(PM),27.5
Pahang,2024-05,Carbon  Monoxide(CO),0.6
Pahang,2024-05,Nitrogen Dioxide(NO2),20
Pahang,2024-05,Sulfur Dioxide(SO2),6
Pahang,2024-05,Volatie Organic Compounds(VOCs),44
Pahang,2024-05,Ground-level Ozone(O3),38
Pahang,2024-06,Particulate Matter(PM),29.6
Pahang,2024-06,Carbon  Monoxide(CO),0.65
Pahang,2024-06,Nitrogen Dioxide(NO2),22
Pahang,2024-06,Sulfur Dioxide(SO2),4
Pahang,2024-06,Volatie Organic Compounds(VOCs),44
Pahang,2024-06,Ground-level Ozone(O3),37
Pahang,2024-07,Particulate Matter(PM),33.4
Pahang,2024-07,Carbon  Monoxide(CO),0.66
Pahang,2024-07,Nitrogen Dioxide(NO2),25
Pahang,2024-07,Sulfur Dioxide(SO2),6
Pahang,2024-07,Volatie Organic Compounds(VOCs),42
Pahang,2024-07,Ground-level Ozone(O3),34
Pahang,2024-08,Particulate Matter(PM),32.5
Pahang,2024-08,Carbon  Monoxide(CO),0.75
Pahang,2024-08,Nitrogen Dioxide(NO2),24
Pahang,2024-08,Sulfur Dioxide(SO2),5
Pahang,2024-08,Volatie Organic Compounds(VOCs),39
Pahang,2024-08,Ground-level Ozone(O3),37
Pahang,2024-09,Particulate Matter(PM),35
Pahang,2024-09,Carbon  Monoxide(CO),0.66
Pahang,2024-09,Nitrogen Dioxide(NO2),31
Pahang,2024-09,Sulfur Dioxide(SO2),5
Pahang,2024-09,Volatie Organic Compounds(VOCs),41
Pahang,2024-09,Ground-level Ozone(O3),38
Pahang,2024-10,Particulate Matter(PM),31.8
Pahang,2024-10,Carbon  Monoxide(CO),0.6
Pahang,2024-10,Nitrogen Dioxide(NO2),22
Pahang,2024-10,Sulfur Dioxide(SO2),7
Pahang,2024-10,Volatie Organic Compounds(VOCs),40
Pahang,2024-10,Ground-level Ozone(O3),36
Pahang,2024-11,Particulate Matter(PM),27.5
Pahang,2024-11,Carbon  Monoxide(CO),0.63
Pahang,2024-11,Nitrogen Dioxide(NO2),20
Pahang,2024-11,Sulfur Dioxide(SO2),6
Pahang,2024-11,Volatie Organic Compounds(VOCs),36
Pahang,2024-11,Ground-level Ozone(O3),32
Pahang,2024-12,Particulate Matter(PM),26.8
Pahang,2024-12,Carbon  Monoxide(CO),0.41
Pahang,2024-12,Nitrogen Dioxide(NO2),22
Pahang,2024-12,Sulfur Dioxide(SO2),5
Pahang,2024-12,Volatie Organic Compounds(VOCs),40
Pahang,2024-12,Ground-level Ozone(O3),32
Perak,2024-01,Particulate Matter(PM),22.5
Perak,2024-01,Carbon  Monoxide(CO),0.67
Perak,2024-01,Nitrogen Dioxide(NO2),18
Perak,2024-01,Sulfur Dioxide(SO2),4
Perak,2024-01,Volatie Organic Compounds(VOCs),42
Perak,2024-01,Ground-level Ozone(O3),36
Perak,2024-02,Particulate Matter(PM),23.4
Perak,2024-02,Carbon  Monoxide(CO),0.6
Perak,2024-02,Nitrogen Dioxide(NO2),18
Perak,2024-02,Sulfur Dioxide(SO2),4
Perak,2024-02,Volatie Organic Compounds(VOCs),43
Perak,2024-02,Ground-level Ozone(O3),35
Perak,2024-03,Particulate Matter(PM),25.5
Perak,2024-03,Carbon  Monoxide(CO),0.48
Perak,2024-03,Nitrogen Dioxide(NO2),15
Perak,2024-03,Sulfur Dioxide(SO2),3
Perak,2024-03,Volatie Organic Compounds(VOCs),45
Perak,2024-03,Ground-level Ozone(O3),41
Perak,2024-04,Particulate Matter(PM),23.9
Perak,2024-04,Carbon  Monoxide(CO),0.67
Perak,2024-04,Nitrogen Dioxide(NO2),18
Perak,2024-04,Sulfur Dioxide(SO2),6
Perak,2024-04,Volatie Organic Compounds(VOCs),52
Perak,2024-04,Ground-level Ozone(O3),44
Perak,2024-05,Particulate Matter(PM),23.9
Perak,2024-05,Carbon  Monoxide(CO),0.62
Perak,2024-05,Nitrogen Dioxide(NO2),21
Perak,2024-05,Sulfur Dioxide(SO2),3
Perak,2024-05,Volatie Organic Compounds(VOCs),44
Perak,2024-05,Ground-level Ozone(O3),38
Perak,2024-06,Particulate Matter(PM),27.2
Perak,2024-06,Carbon  Monoxide(CO),0.8
Perak,2024-06,Nitrogen Dioxide(NO2),19
Perak,2024-06,Sulfur Dioxide(SO2),5
Perak,2024-06,Volatie Organic Compounds(VOCs),45
Perak,2024-06,Ground-level Ozone(O3),36
Perak,2024-07,Particulate Matter(PM),26.3
Perak,2024-07,Carbon  Monoxide(CO),0.87
Perak,2024-07,Nitrogen Dioxide(NO2),19
Perak,2024-07,Sulfur Dioxide(SO2),4
Perak,2024-07,Volatie Organic Compounds(VOCs),43
Perak,2024-07,Ground-level Ozone(O3),30
Perak,2024-08,Particulate Matter(PM),28
Perak,2024-08,Carbon  Monoxide(CO),0.93
Perak,2024-08,Nitrogen Dioxide(NO2),23
Perak,2024-08,Sulfur Dioxide(SO2),5
Perak,2024-08,Volatie Organic Compounds(VOCs),40
Perak,2024-08,Ground-level Ozone(O3),36
Perak,2024-09,Particulate Matter(PM),30.6
Perak,2024-09,Carbon  Monoxide(CO),0.9
Perak,2024-09,Nitrogen Dioxide(NO2),27
Perak,2024-09,Sulfur Dioxide(SO2),5
Perak,2024-09,Volatie Organic Compounds(VOCs),42
Perak,2024-09,Ground-level Ozone(O3),36
Perak,2024-10,Particulate Matter(PM),27.4
Perak,2024-10,Carbon  Monoxide(CO),0.71
Perak,2024-10,Nitrogen Dioxide(NO2),22
Perak,2024-10,Sulfur Dioxide(SO2),4
Perak,2024-10,Volatie Organic Compounds(VOCs),43
Perak,2024-10,Ground-level Ozone(O3),32
Perak,2024-11,Particulate Matter(PM),29.3
Perak,2024-11,Carbon  Monoxide(CO),0.78
Perak,2024-11,Nitrogen Dioxide(NO2),18
Perak,2024-11,Sulfur Dioxide(SO2),5
Perak,2024-11,Volatie Organic Compounds(VOCs),39
Perak,2024-11,Ground-level Ozone(O3),35
Perak,2024-12,Particulate Matter(PM),25.9
Perak,2024-12,Carbon  Monoxide(CO),0.63
Perak,2024-12,Nitrogen Dioxide(NO2),21
Perak,2024-12,Sulfur Dioxide(SO2),4
Perak,2024-12,Volatie Organic Compounds(VOCs),37
Perak,2024-12,Ground-level Ozone(O3),30
Perlis,2024-01,Particulate Matter(PM),25.9
Perlis,2024-01,Carbon  Monoxide(CO),0.78
